fullVisitorId,channelGrouping,hits_time,geoNetwork_country,geoNetwork_city,totals_totalTransactionRevenue,totals_transactions,totals_timeOnSite,totals_pageviews,visitId,hits_type,hits_product_productRefundAmount,hits_product_productQuantity,hits_product_productPrice,hits_product_productRevenue,hits_product_productSKU,hits_product_v2ProductName,hits_product_v2ProductCategory,hits_product_productVariant,hits_item_currencyCode,hits_item_itemQuantity,hits_item_itemRevenue,hits_transaction_transactionRevenue,hits_transaction_transactionId,hits_page_pageTitle,hits_page_searchKeyword,hits_page_pagePathLevel1,date_formatted
429359778876908041,Direct,165800,United States,San Francisco,120000000,1,166,12,1487195538,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702152255,Checkout Confirmation,,/ordercompleted.html,2/15/2017
344834552703768453,Direct,178916,United States,not available in demo dataset,120000000,1,179,13,1487271301,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702162177,Checkout Confirmation,,/ordercompleted.html,2/16/2017
3626946982161462604,Direct,470203,United States,Fremont,120000000,1,470,14,1487312194,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702162200,Checkout Confirmation,,/ordercompleted.html,2/16/2017
8981718935825812893,Direct,272684,United States,Redwood City,120000000,1,273,13,1487473461,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702181347,Checkout Confirmation,,/ordercompleted.html,2/18/2017
6933437495060053166,Direct,605806,United States,San Jose,120000000,1,725,13,1487796370,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702222044,Checkout Confirmation,,/ordercompleted.html,2/22/2017
3153837783391193059,Referral,429268,United States,not available in demo dataset,120000000,1,429,12,1487787057,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702222046,Checkout Confirmation,,/ordercompleted.html,2/22/2017
1303995400963582190,Paid Search,431854,United States,Dublin,120000000,1,432,18,1487778355,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702222128,Checkout Confirmation,,/ordercompleted.html,2/22/2017
1664682845886965788,Direct,443427,United States,New York,120000000,1,443,10,1487966457,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702241680,Checkout Confirmation,,/ordercompleted.html,2/24/2017
5582846037600540498,Referral,260114,United States,Palo Alto,120000000,1,260,12,1487966980,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702241748,Checkout Confirmation,,/ordercompleted.html,2/24/2017
8993786230845085299,Direct,148010,United States,not available in demo dataset,120000000,1,148,14,1487981178,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702241767,Checkout Confirmation,,/ordercompleted.html,2/24/2017
0965737606336818775,Direct,161633,United States,not available in demo dataset,120000000,1,162,14,1488047528,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702251296,Checkout Confirmation,,/ordercompleted.html,2/25/2017
8500767137466705943,Direct,270818,United States,not available in demo dataset,120000000,1,271,18,1488171233,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702261360,Checkout Confirmation,,/ordercompleted.html,2/26/2017
8673471450039377073,Direct,548749,United States,Sunnyvale,120000000,1,549,17,1488233442,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702272109,Checkout Confirmation,,/ordercompleted.html,2/27/2017
458529916876225941,Direct,494408,United States,Sunnyvale,120000000,1,494,18,1488230863,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702272122,Checkout Confirmation,,/ordercompleted.html,2/27/2017
333193334461304962,Direct,1286443,United States,New York,120000000,1,1286,13,1488294796,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201702281924,Checkout Confirmation,,/ordercompleted.html,2/28/2017
3245901829256246146,Referral,408036,United States,Sunnyvale,120000000,1,408,15,1488773546,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703051491,Checkout Confirmation,,/ordercompleted.html,3/5/2017
768918098209083254,Referral,622913,United States,Palo Alto,120000000,1,623,19,1488842862,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703062140,Checkout Confirmation,,/ordercompleted.html,3/6/2017
4150113828266493288,Direct,390363,United States,Kirkland,120000000,1,390,20,1488820577,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703062162,Checkout Confirmation,,/ordercompleted.html,3/6/2017
5453754604542193640,Organic Search,205555,United States,not available in demo dataset,120000000,1,206,9,1489092085,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703091801,Checkout Confirmation,,/ordercompleted.html,3/9/2017
3764227345226401562,Direct,177028,United States,not available in demo dataset,120000000,1,177,12,1489300564,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703111311,Checkout Confirmation,,/ordercompleted.html,3/11/2017
0875829434658805081,Referral,481315,United States,Chicago,120000000,1,481,12,1489341813,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703121332,Checkout Confirmation,,/ordercompleted.html,3/12/2017
3204826330879390945,Referral,248618,United States,Mountain View,120000000,1,339,13,1489360349,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703121350,Checkout Confirmation,,/ordercompleted.html,3/12/2017
2979811820429546558,Referral,586548,United States,San Jose,120000000,1,587,17,1489308967,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703121415,Checkout Confirmation,,/ordercompleted.html,3/12/2017
8233273906426190157,Referral,332688,United States,Austin,120000000,1,333,17,1489623070,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703152165,Checkout Confirmation,,/ordercompleted.html,3/15/2017
7196414577054001960,Direct,402175,United States,Mountain View,120000000,1,402,14,1489667026,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703161912,Checkout Confirmation,,/ordercompleted.html,3/16/2017
5346440768407453533,Direct,750427,United States,Santa Clara,120000000,1,760,20,1489974544,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703191402,Checkout Confirmation,,/ordercompleted.html,3/19/2017
7997288466135809067,Referral,204066,United States,Seattle,120000000,1,204,10,1490037999,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703201925,Checkout Confirmation,,/ordercompleted.html,3/20/2017
2108140297779514194,Direct,259023,United States,Mountain View,120000000,1,259,12,1490135572,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703212143,Checkout Confirmation,,/ordercompleted.html,3/21/2017
0719896908417024477,Referral,368734,United States,Mountain View,120000000,1,369,12,1490281793,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703232453,Checkout Confirmation,,/ordercompleted.html,3/23/2017
9844658298382562465,Direct,191713,United States,Sunnyvale,120000000,1,192,11,1490343472,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703241911,Checkout Confirmation,,/ordercompleted.html,3/24/2017
8308433156765686940,Direct,300808,United States,Mountain View,120000000,1,301,12,1490406869,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703241929,Checkout Confirmation,,/ordercompleted.html,3/24/2017
2486001768982148847,Referral,854743,United States,Mountain View,120000000,1,855,11,1490466922,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703251247,Checkout Confirmation,,/ordercompleted.html,3/25/2017
